NOMBRE_BARRIO,CANTIDAD
SANTA RITA SUR ORIENTAL,1927
SANTA ROSA,13437
SANTA ROSA ALTA,25
SANTA ROSA BAJA,31
SANTA SOFIA,873
SANTA TERESA,7021
SANTA TERESA DE SUBA,2
SANTA TERESITA,1622
SANTA VIVIANA,2926
SANTANDER,907
SANTANDER SUR,960
SANTIAGO PEREZ,405
SANTO DOMINGO,2665
SAUCEDAL,153
SEGUNDO CONTADOR,2
SEMINARIO,237
SENA,133
SERRANIAS,465
SERRANIAS I,1108
SEVILLA,295
SIBERIA,82
SIBERIA CENTRAL,743
SIBERIA II,122
SIBERIA RURAL,133
SIBERIA URBANO,68
SIERRA MORENA,3267
SIERRA MORENA II,643
SIETE DE AGOSTO,1412
SIMON BOLIVAR,1426
"SN FELIPE USME,DLLO.CS LOMA,SIERRA MOREN",1
SOCIEGO,916
SOSIEGO SUR,1562
